Access;Start_Time;Stop_Time;Duration
1;2 Oct 2021 03:26:58.988;2 Oct 2021 03:38:08.770;669.782
2;2 Oct 2021 15:11:33.169;2 Oct 2021 15:22:16.146;642.977
3;2 Oct 2021 16:46:31.120;2 Oct 2021 16:53:14.958;403.838
4;3 Oct 2021 03:00:43.208;3 Oct 2021 03:11:15.644;632.437
5;3 Oct 2021 04:35:11.170;3 Oct 2021 04:42:55.178;464.008
6;3 Oct 2021 14:45:44.594;3 Oct 2021 14:54:52.613;548.019
7;3 Oct 2021 16:18:30.888;3 Oct 2021 16:28:11.520;580.632
8;4 Oct 2021 02:35:06.870;4 Oct 2021 02:43:45.743;518.873
9;4 Oct 2021 04:07:21.709;4 Oct 2021 04:17:32.374;610.664
10;4 Oct 2021 14:21:05.583;4 Oct 2021 14:26:19.340;313.757
11;4 Oct 2021 15:51:20.126;4 Oct 2021 16:02:13.568;653.443
12;5 Oct 2021 02:11:02.670;5 Oct 2021 02:14:48.051;225.381
13;5 Oct 2021 03:40:16.920;5 Oct 2021 03:51:24.150;667.230
14;5 Oct 2021 15:24:40.522;5 Oct 2021 15:35:40.953;660.430
15;5 Oct 2021 17:01:24.284;5 Oct 2021 17:04:47.707;203.422
16;6 Oct 2021 03:13:44.061;6 Oct 2021 03:24:44.588;660.527
17;6 Oct 2021 04:49:36.312;6 Oct 2021 04:55:00.804;324.492
18;6 Oct 2021 14:58:31.715;6 Oct 2021 15:08:35.393;603.677
19;6 Oct 2021 16:32:19.540;6 Oct 2021 16:40:49.098;509.558
20;7 Oct 2021 02:47:44.815;7 Oct 2021 02:57:33.344;588.529
21;7 Oct 2021 04:21:03.906;7 Oct 2021 04:30:19.070;555.164
22;7 Oct 2021 14:33:08.168;7 Oct 2021 14:40:43.712;455.544
23;7 Oct 2021 16:04:47.238;7 Oct 2021 16:15:12.121;624.883
24;8 Oct 2021 02:22:38.331;8 Oct 2021 02:29:32.821;414.489
25;8 Oct 2021 03:53:38.936;8 Oct 2021 04:04:28.478;649.542
26;8 Oct 2021 15:37:51.524;8 Oct 2021 15:48:54.324;662.800
27;9 Oct 2021 03:26:49.487;9 Oct 2021 03:38:02.301;672.814
28;9 Oct 2021 15:11:25.498;9 Oct 2021 15:22:04.039;638.541
29;9 Oct 2021 16:46:22.058;9 Oct 2021 16:53:04.134;402.076
30;10 Oct 2021 03:00:31.445;10 Oct 2021 03:11:05.971;634.526
31;10 Oct 2021 04:34:56.602;10 Oct 2021 04:42:47.797;471.195
32;10 Oct 2021 14:45:34.974;10 Oct 2021 14:54:36.746;541.771
33;10 Oct 2021 16:18:19.150;10 Oct 2021 16:27:57.611;578.461
34;11 Oct 2021 02:34:53.070;11 Oct 2021 02:43:32.678;519.608
35;11 Oct 2021 04:07:05.667;11 Oct 2021 04:17:20.933;615.267
36;11 Oct 2021 14:20:56.709;11 Oct 2021 14:25:57.033;300.324
37;11 Oct 2021 15:51:05.835;11 Oct 2021 16:01:56.467;650.632
38;12 Oct 2021 02:10:48.399;12 Oct 2021 02:14:30.090;221.691
39;12 Oct 2021 03:39:58.842;12 Oct 2021 03:51:09.229;670.387
40;12 Oct 2021 15:24:23.834;12 Oct 2021 15:35:20.520;656.686
41;12 Oct 2021 17:01:04.295;12 Oct 2021 17:04:30.552;206.257
42;13 Oct 2021 03:13:23.903;13 Oct 2021 03:24:26.265;662.363
43;13 Oct 2021 04:49:10.705;13 Oct 2021 04:54:47.478;336.773
44;13 Oct 2021 14:58:12.961;13 Oct 2021 15:08:11.310;598.349
45;13 Oct 2021 16:31:58.269;13 Oct 2021 16:40:27.431;509.162
46;14 Oct 2021 02:47:22.755;14 Oct 2021 02:57:11.476;588.721
47;14 Oct 2021 04:20:38.726;14 Oct 2021 04:29:59.741;561.014
48;14 Oct 2021 14:32:48.450;14 Oct 2021 14:40:14.896;446.446
49;14 Oct 2021 16:04:23.673;14 Oct 2021 16:14:46.981;623.308
50;15 Oct 2021 02:22:15.176;15 Oct 2021 02:29:06.662;411.487
51;15 Oct 2021 03:53:12.117;15 Oct 2021 04:04:05.236;653.119
52;15 Oct 2021 15:37:25.661;15 Oct 2021 15:48:25.744;660.083
